Sample Name,Atom Number,Occupied Orbitals,Molecule Weight,HOMO,LUMO,HOMO-LUMO Gap,Principal_Moment_I1,Principal_Moment_I2,Principal_Moment_I3,Farthest Distance,Molecular Radius,Molecular Size Short,Molecular Size Medium,Molecular Size Long,Long/Sum Size Ratio,Length/Diameter,MPP,SDP,Dipole Moment (a.u.),ODI LUMO+1,ODI LUMO,ODI HOMO,ODI HOMO-1,ODI Mean,ODI Std,Isosurface area,Sphericity,LEAE Minimal Value,LEAE Maximal Value,LEAE Average Value,Surface exposed atom num,ESP Minimal Value,ESP Maximal Value,ESP Overall Average Value (kcal/mol),ESP Overall Variance ((kcal/mol)^2),Balance of Charges (nu),Product of sigma^2_tot and nu ((kcal/mol)^2),Internal Charge Separation (Pi) (kcal/mol),Molecular Polarity Index (MPI) (kcal/mol),Polar Surface Area (Angstrom^2),Polar Surface Area (%),ALIE Minimal Value,ALIE Maximal Value,ALIE Average Value,ALIE Variance,Shape_Gyradius,Shape_Asphericity,Shape_Relative_Gyradius,Shape_Waist_Variance,Shape_Geometric_Asphericity
4j_R_bp1,77,177.0,684.66271,-0.223349,-0.153477,0.069872,5877.9196,8671.0102,10882.016,14.001,8.201,10.653,12.807,15.583,0.39912404272212687,0.950067064992074,1.921646,8.154588,3.613881,7.16,7.75,5.65,4.04,6.15,1.438940582512009,540.39636,0.493,-3.56233,-2e-05,-0.37105,77,0.97024,154.2107,72.53405,782.0284,0.0,0.0,22.31465,72.53405,535.01,99.0,8.49908,16.64317,11.47301,1.79979,8.143848099985723,0.08268708529771403,1.3180344853788468,54.12426258117675,0.03521842031676532
2e_R_Me_S_bp4,77,191.0,748.59431,-0.239442,-0.151779,0.087663,6876.3088,11537.509,15582.396,17.748,10.074,8.884,15.512,19.423,0.4432552089276341,0.9640162795314671,1.289909,6.389143,5.132434,17.83,14.98,10.97,10.54,13.58,3.003173321671594,563.40803,0.4754,-3.71048,-1e-05,-0.35491,77,-2.75177,155.205,77.29695,979.69136,0.00060172,0.5895,25.83911,77.30163,554.45,98.41,8.76856,17.3554,12.13845,2.83456,9.004890304252909,0.13454806706917946,1.3496923486818153,109.58510744535108,0.12219912221105673
6b_S_bp2,57,145.0,568.45128,-0.234975,-0.161398,0.073576,4248.6256,5662.4795,7840.7871,13.577,7.989,8.803,12.983,15.755,0.41967448922511386,0.9860433095506321,1.367858,6.13819,8.744007,19.74,19.57,5.77,13.94,14.754999999999999,5.6883411465909814,423.4282,0.5284,-4.16381,-4e-05,-0.47056,57,-10.62634,164.80271,86.56947,1292.70864,0.00644165,8.32718,30.65135,86.7489,402.25,95.0,8.56776,17.27964,12.01893,2.72351,7.467256190181044,0.08803298776519189,1.277341161672365,55.728040408042446,0.07433843955314377
7j_S_bp5,99,203.0,772.85418,-0.226875,-0.139068,0.087807,7944.8857,11474.774,14017.61,15.636,9.018,12.61,14.697,17.351,0.38853061041694653,0.96202040363717,2.346603,10.209752,5.305205,11.17,15.5,13.79,7.28,11.935,3.098568217741865,637.70652,0.4677,-3.61546,-8e-05,-0.28202,99,-16.89954,145.00729,74.72888,685.48345,0.023838,16.34055,22.40588,75.10446,610.51,95.74,8.32554,16.10929,11.47204,1.49013,8.789264790115611,0.07130876655735409,1.2392255609897451,44.16511227673897,0.025053848255696065
1a_S_bp3,45,111.0,432.35271,-0.237684,-0.152128,0.085556,2187.4378,3960.6862,4888.4603,12.831,7.616,8.402,10.752,14.829,0.4363652414442515,0.9735425420168068,1.401284,5.780237,7.083385,18.98,17.38,7.11,14.61,14.52,4.554871019030067,336.07185,0.5635,-4.57347,-0.00015,-0.56344,45,2.24484,173.11248,91.43871,1477.41181,0.0,0.0,31.44487,91.43871,330.03,98.2,8.74022,16.89919,11.88877,2.41322,6.751248971953738,0.1273491236454742,1.2745105537011743,62.992439747603996,0.07812240329989624
2c_S_bp5,65,167.0,653.43506,-0.230139,-0.150453,0.079687,5108.1289,10910.858,13881.254,17.802,10.101,9.234,13.835,19.546,0.45866478939340605,0.9675279675279674,1.463523,6.546202,5.666824,15.31,17.67,5.51,5.83,11.08,5.475134701539315,496.61026,0.4983,-3.98204,-1e-05,-0.40543,65,-5.03525,164.62428,78.58612,949.30188,0.00243968,2.31599,24.48073,78.6085,479.56,96.57,8.48504,16.91711,11.61864,1.91334,9.039064293737876,0.17680932638894487,1.3865485383506941,106.1590339718168,0.12154029209769196
6f_R_bp4,75,161.0,616.63006,-0.232217,-0.14966,0.082557,4846.9207,8083.5516,9672.1555,14.902,8.651,10.237,13.527,16.891,0.4154716517033575,0.9762455207490462,1.756475,8.042846,6.056951,12.52,14.33,6.01,14.24,11.775,3.4056754102527154,510.00556,0.4953,-3.7403,-6e-05,-0.36741,75,-11.70652,145.88149,80.11886,772.66794,0.01313637,10.15005,22.15837,80.26306,490.26,96.13,8.55953,16.46893,11.63216,1.64229,8.090088429903489,0.09946521709027834,1.2683253173241797,68.9228767017387,0.057946626846078785
2i_R_bp4,67,163.0,634.56406,-0.238127,-0.163564,0.074563,5711.2759,10316.472,13803.409,17.787,10.094,9.044,14.648,19.562,0.4522587506357793,0.9689914800871806,1.353722,6.059283,7.498305,14.65,14.64,7.63,6.11,10.7575,3.9244705056860854,504.27453,0.4929,-3.58963,-1e-05,-0.44765,67,-13.1129,177.6751,79.81952,1224.21905,0.00850228,10.40865,28.45748,79.96665,480.3,95.25,8.78257,17.2539,11.76337,1.97081,9.16186483658133,0.1499612673200756,1.3880989055911253,93.86817538157632,0.12236617920815374
2j_R_bp1,85,191.0,736.73742,-0.227813,-0.140482,0.087331,6649.2465,12666.309,16773.372,17.766,10.083,10.078,14.537,19.646,0.44386706129549713,0.9742140236040862,1.575716,7.715444,2.774024,17.49,13.54,5.74,12.12,12.222499999999998,4.228347047014944,596.41532,0.4729,-3.67304,-9e-05,-0.33239,85,0.50217,153.50397,71.3094,676.26356,0.0,0.0,20.57332,71.3094,590.82,99.06,8.50423,16.52593,11.43288,1.71277,9.352275346001125,0.16005441020274722,1.3682436287565285,77.56577140800417,0.09839740337036555
2i_R_Me_S_bp3,73,171.0,662.61729,-0.23733,-0.157653,0.079678,4428.346,11373.669,13408.132,17.785,10.093,8.661,11.596,19.927,0.49589388811467255,0.987169325274943,1.559477,6.355737,8.068942,19.36,14.99,6.97,7.12,12.11,5.295672761793349,533.77562,0.4855,-3.81161,-0.00036,-0.40695,73,-18.66544,164.04311,81.94258,1256.30987,0.02438752,30.63828,29.31382,82.1069,516.53,96.77,8.85905,17.02034,11.73783,1.79291,8.872000992960336,0.20230216716741165,1.4651073181059708,92.51034508450877,0.16893686954476236
